IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.181.189,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,84,13.57
47.236.114.167,2096,2096,TRUE,SIN,Asia Pacific,Singapore,223,13.57
8.222.253.235,2086,2086,FALSE,SIN,Asia Pacific,Singapore,7,13.57
8.222.221.90,80,80,FALSE,SIN,Asia Pacific,Singapore,6,13.57
8.222.184.198,2087,2087,TRUE,SIN,Asia Pacific,Singapore,58,13.57
47.236.125.4,8080,8080,FALSE,SIN,Asia Pacific,Singapore,32,13.57
8.219.193.22,2082,2082,FALSE,SIN,Asia Pacific,Singapore,9,13.56
8.219.107.135,8080,8080,FALSE,SIN,Asia Pacific,Singapore,14,13.56
47.236.19.51,2087,2087,TRUE,SIN,Asia Pacific,Singapore,119,13.56
47.236.168.17,2096,2096,TRUE,SIN,Asia Pacific,Singapore,84,13.56
8.219.103.126,8880,8880,FALSE,SIN,Asia Pacific,Singapore,22,13.56
8.222.255.15,2087,2087,TRUE,SIN,Asia Pacific,Singapore,106,13.56
47.236.179.182,2052,2052,FALSE,SIN,Asia Pacific,Singapore,14,13.56
47.236.158.158,2086,2086,FALSE,SIN,Asia Pacific,Singapore,30,13.56
8.219.113.27,2095,2095,FALSE,SIN,Asia Pacific,Singapore,12,13.56
47.237.9.179,2096,2096,TRUE,SIN,Asia Pacific,Singapore,76,13.55
8.219.107.199,8880,8880,FALSE,SIN,Asia Pacific,Singapore,25,13.55
8.219.103.126,443,443,TRUE,SIN,Asia Pacific,Singapore,117,13.55
8.222.164.44,2096,2096,TRUE,SIN,Asia Pacific,Singapore,59,13.55
8.222.144.117,2082,2082,FALSE,SIN,Asia Pacific,Singapore,7,13.54
8.219.142.229,80,80,FALSE,SIN,Asia Pacific,Singapore,16,13.53
8.219.167.113,2096,2096,TRUE,SIN,Asia Pacific,Singapore,89,13.53
8.219.40.37,2095,2095,FALSE,SIN,Asia Pacific,Singapore,23,13.52
8.222.166.117,8080,8080,FALSE,SIN,Asia Pacific,Singapore,15,13.52
8.219.89.201,8443,8443,TRUE,SIN,Asia Pacific,Singapore,141,13.52
8.219.215.12,2086,2086,FALSE,SIN,Asia Pacific,Singapore,30,13.52
47.236.198.189,8880,8880,FALSE,SIN,Asia Pacific,Singapore,21,13.52
8.219.156.148,2052,2052,FALSE,SIN,Asia Pacific,Singapore,15,13.51
47.236.163.221,2082,2082,FALSE,SIN,Asia Pacific,Singapore,27,13.51
